2025-12-21 13:20:20,108 - INFO - Connection closed: ('127.0.0.1', 58466). Active: 0
2025-12-21 13:20:20,109 - INFO - New connection from ('127.0.0.1', 58467). Active: 1
2025-12-21 13:20:20,109 - INFO - Created new game: test_game_1766337620
2025-12-21 13:20:20,109 - INFO - Connection closed: ('127.0.0.1', 58467). Active: 0
2025-12-21 13:20:20,110 - INFO - New connection from ('127.0.0.1', 58468). Active: 1
2025-12-21 13:20:20,110 - INFO - Connection closed: ('127.0.0.1', 58468). Active: 0
2025-12-21 13:20:20,111 - INFO - New connection from ('127.0.0.1', 58469). Active: 1
2025-12-21 13:20:20,112 - INFO - Connection closed: ('127.0.0.1', 58469). Active: 0
2025-12-21 13:20:20,112 - INFO - New connection from ('127.0.0.1', 58470). Active: 1
2025-12-21 13:20:20,113 - INFO - Connection closed: ('127.0.0.1', 58470). Active: 0
2025-12-21 13:20:20,114 - INFO - New connection from ('127.0.0.1', 58471). Active: 1
2025-12-21 13:20:20,114 - INFO - Connection closed: ('127.0.0.1', 58471). Active: 0
2025-12-21 13:21:25,115 - INFO - New connection from ('127.0.0.1', 58485). Active: 1
2025-12-21 13:21:25,116 - INFO - Created new game: game_ht1rmv
2025-12-21 13:21:25,117 - INFO - Connection closed: ('127.0.0.1', 58485). Active: 0
2025-12-21 13:21:25,117 - INFO - New connection from ('127.0.0.1', 58486). Active: 1
2025-12-21 13:21:25,118 - INFO - Connection closed: ('127.0.0.1', 58486). Active: 0
2025-12-21 13:21:25,156 - INFO - New connection from ('127.0.0.1', 58487). Active: 1
2025-12-21 13:21:25,157 - INFO - Connection closed: ('127.0.0.1', 58487). Active: 0
2025-12-21 13:21:28,211 - INFO - New connection from ('127.0.0.1', 58488). Active: 1
2025-12-21 13:21:28,212 - INFO - Connection closed: ('127.0.0.1', 58488). Active: 0
2025-12-21 13:21:31,291 - INFO - New connection from ('127.0.0.1', 58489). Active: 1
2025-12-21 13:21:31,294 - INFO - Connection closed: ('127.0.0.1', 58489). Active: 0
2025-12-21 13:21:34,358 - INFO - New connection from ('127.0.0.1', 58490). Active: 1
2025-12-21 13:21:34,358 - INFO - Connection closed: ('127.0.0.1', 58490). Active: 0
2025-12-21 13:21:34,414 - INFO - New connection from ('127.0.0.1', 58491). Active: 1
2025-12-21 13:21:34,415 - INFO - Connection closed: ('127.0.0.1', 58491). Active: 0
2025-12-21 13:21:36,757 - INFO - New connection from ('127.0.0.1', 58492). Active: 1
2025-12-21 13:21:36,758 - INFO - Connection closed: ('127.0.0.1', 58492). Active: 0
2025-12-21 13:21:49,225 - INFO - New connection from ('127.0.0.1', 58494). Active: 1
2025-12-21 13:21:49,226 - INFO - Created new game: game_265d61
2025-12-21 13:21:49,228 - INFO - Connection closed: ('127.0.0.1', 58494). Active: 0
2025-12-21 13:21:49,229 - INFO - New connection from ('127.0.0.1', 58495). Active: 1
2025-12-21 13:21:49,230 - INFO - Connection closed: ('127.0.0.1', 58495). Active: 0
2025-12-21 13:21:49,267 - INFO - New connection from ('127.0.0.1', 58496). Active: 1
2025-12-21 13:21:49,268 - INFO - Connection closed: ('127.0.0.1', 58496). Active: 0
2025-12-21 13:21:52,340 - INFO - New connection from ('127.0.0.1', 58497). Active: 1
2025-12-21 13:21:52,341 - INFO - Connection closed: ('127.0.0.1', 58497). Active: 0
2025-12-21 13:21:55,395 - INFO - New connection from ('127.0.0.1', 58498). Active: 1
2025-12-21 13:21:55,396 - INFO - Connection closed: ('127.0.0.1', 58498). Active: 0
2025-12-21 13:21:57,451 - INFO - New connection from ('127.0.0.1', 58499). Active: 1
2025-12-21 13:21:57,452 - INFO - Connection closed: ('127.0.0.1', 58499). Active: 0
2025-12-21 13:21:58,439 - INFO - New connection from ('127.0.0.1', 58500). Active: 1
2025-12-21 13:21:58,440 - INFO - Connection closed: ('127.0.0.1', 58500). Active: 0
2025-12-21 13:22:00,568 - INFO - New connection from ('127.0.0.1', 58502). Active: 1
2025-12-21 13:22:00,569 - INFO - Connection closed: ('127.0.0.1', 58502). Active: 0
2025-12-21 13:22:01,503 - INFO - New connection from ('127.0.0.1', 58503). Active: 1
2025-12-21 13:22:01,505 - INFO - Connection closed: ('127.0.0.1', 58503). Active: 0
2025-12-21 13:22:03,629 - INFO - New connection from ('127.0.0.1', 58504). Active: 1
